wallet,value_eth_sum,value_eth_mean,value_eth_max,gas_spent_sum,gas_price_mean,successful_sum,successful_count,active_days,risk_score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0.047610808504821134,0.03332756595337479,0.1,0.7021431779513756,0.13598100901350224,0.9896907216494845,0.9999999999999999,0.2774283717679944,432
0x06b51c6882b27cb05e712185531c1f74996dd988,2.2142161884561802e-05,0.0003099902663838652,3.7199999999999996e-05,0.00032609526814614666,0.359957010076314,0.020618556701030924,0.020618556701030924,0.0,42
0x0795732aacc448030ef374374eaae57d2965c16c,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.39951463204450194,0.010309278350515462,0.010309278350515462,0.0,43
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0.18390580713316254,0.1609175812415172,0.13512630493338104,0.39358671697328046,0.27099895728098056,0.7938144329896907,0.7938144329896907,0.7222222222222222,443
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,2.369367261669409e-05,0.00033171141663371727,3.7199999999999996e-05,0.00032605950947210477,0.35537665384841854,0.020618556701030924,0.020618556701030924,0.0220125786163522,44
0x104ae61d8d487ad689969a17807ddc338b445416,0.0008754924421208443,0.01021407849140985,0.0009497150152000001,0.0004726849724914331,0.5637454398178114,0.030927835051546393,0.030927835051546393,0.24388539482879104,91
0x111c7208a7e2af345d36b6d4aace8740d61a3078,2.6434809362649822e-05,0.00030840610923091457,3.7199999999999996e-05,0.0008083754848388242,0.15314698645315583,0.030927835051546393,0.030927835051546393,0.0,25
0x124853fecb522c57d9bd5c21231058696ca6d596,3.122670362513287e-05,0.0003122670362513287,3.7199999999999996e-05,0.00117731560426618,0.11705933132428258,0.04123711340206185,0.04123711340206185,0.0,24
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00034752961334476523,0.23503820386098356,0.010309278350515462,0.010309278350515462,0.0,27
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0.007289045693084865,0.005102331985159405,0.016,0.09679419821950232,0.6604908380293633,0.979381443298969,0.9999999999999999,0.5216631726065688,427
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,3.5226135573255883e-06,4.109715816879853e-05,5.43904e-06,0.0005074483634391718,0.09138157671335355,0.030927835051546393,0.030927835051546393,0.007337526205450733,19
0x19df3e87f73c4aaf4809295561465b993e102668,0.00012876795651332068,0.0002907663534171757,0.00013123667127557355,0.11883129460766079,0.08219095722185006,0.28865979381443296,0.28865979381443296,0.7424877707896576,181
0x1ab2ccad4fc97c9968ea87d4435326715be32872,2.5635511745691078e-05,0.00035889716443967504,3.7199999999999996e-05,0.00032609526814614666,0.28084176613993805,0.020618556701030924,0.020618556701030924,0.0,34
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,0.0013288972558452075,0.0009302280790916453,0.00015614518,0.03167853781637565,0.6868092992596024,0.9484536082474226,0.9999999999999999,0.5279524807826694,415
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,2.6542160878695366e-05,0.0006193170871695586,3.2e-05,0.0,0.1950179196475536,0.0,0.0,0.0,20
0x22d7510588d90ed5a87e0f838391aaafa707c34b,0.0005638701133964403,0.0005193540518125107,0.0012095370500000001,0.1556078929441798,0.5407316810092254,0.7525773195876289,0.7525773195876289,0.6219426974143955,358
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0.0003966867982428987,0.0012621852671364957,0.00044216816,0.004062295627072049,0.24935970375101066,0.18556701030927836,0.1958762886597938,0.05625436757512229,88
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,4.3573320731585046e-05,0.00043573320731585046,4e-05,0.0032988449563878717,0.23285708184770001,0.04123711340206185,0.04123711340206185,0.16771488469601675,53
0x27f72a000d8e9f324583f3a3491ea66998275b28,2.845818831242321e-05,0.0003984146363739249,3.7199999999999996e-05,0.00032605950947210477,0.18923464158202907,0.020618556701030924,0.020618556701030924,0.002795248078266946,25
0x2844658bf341db96aa247259824f42025e3bcec2,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00026343713155621844,0.3453831493511921,0.010309278350515462,0.010309278350515462,0.0,38
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,3.0378663886285257e-05,0.0004253012944079936,3.7199999999999996e-05,0.00032609526814614666,0.14148789787305832,0.020618556701030924,0.020618556701030924,0.0,20
0x330513970efd9e8dd606275fb4c50378989b3204,0.06596630835760653,0.046176415850324566,0.04575541049830192,0.06305463472748388,0.29365721002904743,0.8969072164948454,0.9999999999999999,0.6995108315863032,407
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,0.15444070026660323,0.10810849018662225,0.044,0.06964547089440158,0.14220502902581758,0.979381443298969,0.9999999999999999,0.09084556254367575,372
0x3867d222ba91236ad4d12c31056626f9e798629c,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00026343713155621844,0.1639038836550315,0.010309278350515462,0.010309278350515462,0.0,20
0x3a44be4581137019f83021eeee72b7dc57756069,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00026351758857281267,0.3925746983658725,0.010309278350515462,0.010309278350515462,0.0,42
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,1.694703123642231e-05,0.00023725843730991233,3.7199999999999996e-05,0.00034507418439388776,0.19062262831775495,0.020618556701030924,0.020618556701030924,0.0,25
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0.008677000848669505,0.006073900594068653,0.010645726568357643,0.12260318212328052,0.3107006920869098,0.9690721649484536,0.9999999999999999,0.6635220125786163,407
0x4814be124d7fe3b240eb46061f7ddfab468fe122,0.008281793935870824,0.005797255755109578,0.002886954053972863,0.06825742346422745,0.4219035133802162,0.9484536082474226,0.9999999999999999,0.560796645702306,397
0x4839e666e2baf12a51bf004392b35972eeddeabf,0.0017642054089079097,0.006174718931177684,0.0019345479,0.016865539873301,0.977326570193513,0.17525773195876287,0.17525773195876287,0.5429769392033542,207
0x4c4d05fe859279c91b074429b5fc451182cec745,1.8394361642950907e-05,0.00032190132875164085,3.2e-05,0.00017972011584511157,0.5754419507977591,0.010309278350515462,0.010309278350515462,0.07896575821104122,69
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0.009468382896960878,0.006627868027872613,0.0020601628779884323,0.07758406936529572,0.5051846230001933,0.9690721649484536,0.9999999999999999,0.6104122990915444,416
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,2.1553489443081152e-05,0.0003017488522031361,3.7199999999999996e-05,0.00041934495037892463,0.5070836040632588,0.020618556701030924,0.020618556701030924,0.002445842068483578,57
0x4e61251336c32e4fe6bfd5fab014846599321389,2.0219707061454868e-05,0.0002830758988603681,3.2e-05,0.0004101072929180992,0.3698117158999678,0.020618556701030924,0.020618556701030924,0.05660377358490566,49
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,1.694703123642231e-05,0.00019771536442492695,3.7199999999999996e-05,0.0004836122273007387,0.2998109181948586,0.030927835051546393,0.030927835051546393,0.06533892382948987,46
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,0.0003597964082515649,0.0005857150832002219,0.000104,0.0062819914791072805,0.5287760364518767,0.41237113402061853,0.41237113402061853,0.3686233403214535,214
0x54e19653be9d4143b08994906be0e27555e8834d,0.0,0.0,0.0,0.002023705539501053,0.016331151074460565,0.04123711340206185,0.04123711340206185,0.0,14
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,2.6303095395845065e-05,0.0003682433355418309,3.7199999999999996e-05,0.00033521670991633595,0.27001546960127604,0.020618556701030924,0.020618556701030924,0.01362683438155136,35
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,2.7438629219353975e-05,0.00024008800566934727,3.7199999999999996e-05,0.028727928707144874,0.20981092625969283,0.05154639175257732,0.05154639175257732,0.5401816911250873,93
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,0.00034573915328719627,0.002200158248191249,0.00020494688,0.0007106827873563395,0.5471202793317085,0.08247422680412371,0.08247422680412371,0.407058001397624,121
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,2.5926637461477578e-05,0.00036297292446068604,3.7199999999999996e-05,0.00032609526814614666,0.3065195207508671,0.020618556701030924,0.020618556701030924,0.05241090146750524,42
0x58d68d4bcf9725e40353379cec92b90332561683,0.0010623004537611853,0.0013520187593324177,0.0005035233599999999,0.1179818234666793,0.47915350784317035,0.5257731958762887,0.5360824742268041,0.527603074772886,272
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.18576467474271433,0.010309278350515462,0.010309278350515462,0.0,22
0x612a3500559be7be7703de6dc397afb541a16f7f,0.015816713297359397,0.011071699308151578,0.0114,0.0251768390841759,0.4729920511937087,0.979381443298969,0.9999999999999999,0.23829489867225714,375
0x623af911f493747c216ad389c7805a37019c662d,1.0,1.0,0.399704826,0.36652109578654263,0.09436237261697487,0.6597938144329897,0.6907216494845361,0.8864430468204052,676
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0.00175457655649532,0.008188023930311494,0.0013048,0.0027248020223246587,0.11351541103693218,0.12371134020618557,0.12371134020618557,0.46366177498252964,96
0x6d69ca3711e504658977367e13c300ab198379f1,2.7679751944238077e-05,0.00038751652721933305,3.7199999999999996e-05,0.00032605950947210477,0.3113774743259077,0.020618556701030924,0.020618556701030924,0.006638714185883996,38
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,6.759890223062747e-05,0.0002957451972589952,5.370572e-05,0.001946174774399196,0.4415879799711931,0.13402061855670103,0.13402061855670103,0.0017470300489168416,85
0x70c1864282599a762c674dd9d567b37e13bce755,2.8596566289252868e-05,0.0004003519280495401,3.7199999999999996e-05,0.00041022350860873546,0.17993513045266557,0.020618556701030924,0.020618556701030924,0.01362683438155136,26
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,0.005161141210166975,0.0036127988471168827,0.0020002,0.06736119487704667,0.2411427907621578,0.9999999999999999,0.9999999999999999,0.6373165618448636,396
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.2902106766060878,0.010309278350515462,0.010309278350515462,0.0,32
0x767055590c73b7d2aaa6219da13807c493f91a20,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00035676727080559076,0.12885721857795268,0.010309278350515462,0.010309278350515462,0.0,16
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,0.00911130711635608,0.07086572201610285,0.02,0.03162518587470513,0.8712373462557885,0.061855670103092786,0.061855670103092786,0.6107617051013277,181
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,3.676437222427649e-05,0.00023395509597266855,3.7199999999999996e-05,0.0010018626901900692,0.702474282269763,0.08247422680412371,0.08247422680412371,0.03738644304682041,99
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,2.697515187374205e-05,0.00026975151873742046,3.7199999999999996e-05,0.0011469237112200644,0.19974368400966797,0.04123711340206185,0.04123711340206185,0.00034940600978336826,33
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,2.816549713818274e-05,0.0004928961999181979,3.7199999999999996e-05,0.00037315070329579025,0.15904593007999088,0.010309278350515462,0.010309278350515462,0.0,19
0x7de76a449cf60ea3e111ff18b28e516d89532152,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00026351758857281267,0.18125371785160518,0.010309278350515462,0.010309278350515462,0.0,21
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,0.003605644899076941,0.016826342862359057,0.006019999999999999,0.017788876515295045,0.14480287362499766,0.12371134020618557,0.12371134020618557,0.8120195667365478,138
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00026343713155621844,0.16355688697110002,0.010309278350515462,0.010309278350515462,0.0,20
0x83ea74c67d393c6894c34c464657bda2183a2f1a,2.9862666874887512e-05,0.0002986266687488751,3.7199999999999996e-05,0.012361627601700925,0.1843736146077879,0.04123711340206185,0.04123711340206185,0.4496855345911949,77
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,0.0023846401982629242,0.006955200578266862,0.00178761388712244,0.01871992511132413,0.2564213299180741,0.21649484536082475,0.21649484536082475,0.5681341719077567,151
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.3925746983658725,0.010309278350515462,0.010309278350515462,0.00034940600978336826,42
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,3.063093939775821e-05,0.0004288331515686149,3.7199999999999996e-05,0.00041022350860873546,0.11456095519997597,0.020618556701030924,0.020618556701030924,0.0,18
0x880a0af12da55df1197f41697c1a1b61670ed410,0.0001488291125409798,0.0006128257575216816,7.56156e-05,0.0024421773822554545,0.5250973667062397,0.14432989690721648,0.14432989690721648,0.12054507337526205,108
0x8aaece100580b749a20f8ce30338c4e0770b65ed,2.2600264448808192e-05,0.0003164037022833147,3.7199999999999996e-05,0.00032609526814614666,0.4106680897193775,0.020618556701030924,0.020618556701030924,0.42557651991614254,90
0x8be38ea2b22b706aef313c2de81f7d179024dd30,0.00042902222152524844,0.0009100471365687087,0.00021141596000000002,0.021498475400623274,0.570158729726002,0.18556701030927836,0.30927835051546393,0.48462613556953177,176
0x8d900f213db5205c529aaba5d10e71a0ed2646db,0.00047647873001497334,0.002223567406736542,0.00049,0.002214510844299155,0.4938514638493385,0.12371134020618557,0.12371134020618557,0.006988120195667365,88
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00026351758857281267,0.17431378417297572,0.010309278350515462,0.010309278350515462,0.0006988120195667366,21
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,1.8573508892377267e-05,0.00026002912449328173,3.7199999999999996e-05,0.0008369138866137681,0.36828493049066935,0.020618556701030924,0.020618556701030924,0.0,43
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,0.09988473896538956,0.06991931727577268,0.014952,0.01172003355248305,1.0,0.9999999999999999,0.9999999999999999,0.008385744234800837,430
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,3.048513333668887e-05,0.0007113197778560736,3.7199999999999996e-05,8.045701659423199e-08,0.4013652810254698,0.0,0.0,0.0010482180293501049,40
0x9a363adc5d382c04d36b09158286328f75672098,7.268246259974386e-05,0.0004239810318318392,4e-05,0.07116577178051971,0.05299281014922836,0.09278350515463918,0.09278350515463918,0.6415094339622641,104
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,2.8078727490710872e-05,0.0004913777310874402,3.7199999999999996e-05,0.0005414071842209678,0.16355688697110002,0.010309278350515462,0.010309278350515462,0.0,20
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,0.0128468817386698,0.014988028695114767,0.004425899168,0.011053128321822512,0.2718991400718469,0.5876288659793815,0.5876288659793815,0.9999999999999999,309
0x9e6ec4e98793970a1307262ba68d37594e58cd78,0.0,0.0,0.0,0.0893352725619853,0.3094765884759986,0.4536082474226804,0.4536082474226804,0.017120894479385043,178
0xa7e94d933eb0c439dda357f61244a485246e97b8,0.00040089751311966757,0.007015706479594182,0.00088,0.01587704198753409,0.0,0.010309278350515462,0.010309278350515462,0.7103424178895876,77
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,0.011225684761616886,0.00785797933313182,0.016,0.48727591800837605,0.11622161435467863,0.9999999999999999,0.9999999999999999,0.2718378756114605,392
0xa98dc64bb42575efec7d1e4560c029231ce5da51,7.033271257453092e-05,0.0004475718072924695,4e-05,0.003931281805161516,0.3794576049967246,0.08247422680412371,0.08247422680412371,0.27882599580712786,91
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,2.3202392485902383e-05,0.00020302093425164582,3.7199999999999996e-05,0.0015922294589534119,0.17665601178951315,0.05154639175257732,0.05154639175257732,0.0010482180293501049,33
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,1.9971280548962705e-05,0.0002795979276854779,3.7199999999999996e-05,0.0007915659281496253,0.1638694244997559,0.020618556701030924,0.020618556701030924,0.18518518518518517,41
0xb57297c5d02def954794e593db93d0a302e43e5c,5.6418521137048046e-05,0.00035902695269030574,3.7199999999999996e-05,0.0013467014633131813,0.35351286732652426,0.08247422680412371,0.08247422680412371,0.09678546470999301,70
0xbd4a00764217c13a246f86db58d74541a0c3972a,0.45556535581798624,0.3188957490725904,1.0,1.0,0.003493805573960231,0.9999999999999999,0.9999999999999999,0.06009783368273934,629
0xc179d55f7e00e789915760f7d260a1bf6285278b,0.00015236461500341516,0.0008887935875199217,0.0001705786,0.013591594873604307,0.4140306599889686,0.09278350515463918,0.09278350515463918,0.3658280922431865,107
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,0.01946638425010416,0.014343651552708328,0.00961347296,0.028795783771028892,0.8515168371570367,0.9381443298969072,0.9484536082474226,0.5300489168413696,430
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,0.043703619137976754,0.03059253339658373,0.012045432069017876,0.025299115870062193,0.919120652775177,0.8865979381443299,0.9999999999999999,0.0957372466806429,394
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,2.147780463937079e-05,0.000300689264951191,3.7199999999999996e-05,0.0008460353283839573,0.28458933032639794,0.020618556701030924,0.020618556701030924,0.004542278127183787,35
0xcf0033bf27804640e5339e06443e208db5870dd2,2.6492173241123686e-05,0.00037089042537573157,3.7199999999999996e-05,0.00041018774993469345,0.18784665484630317,0.020618556701030924,0.020618556701030924,0.0,25
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,1.942512454592884e-05,0.00022662645303583645,3.7199999999999996e-05,0.00038867294771948054,0.4307443335983346,0.030927835051546393,0.030927835051546393,0.0,52
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,3.0086224639686562e-05,0.00042120714495561185,3.7199999999999996e-05,0.00032609526814614666,0.13676874297159028,0.020618556701030924,0.020618556701030924,0.0020964360587002098,20
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,2.2165250392360002e-05,0.0002585945879108667,3.7199999999999996e-05,0.0011650503790698067,0.1718848073854554,0.030927835051546393,0.030927835051546393,0.0,27
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,5.1935001797310195e-05,0.0004544312657264642,3.2e-05,0.0005145553999050006,0.3431276709056375,0.05154639175257732,0.05154639175257732,0.010482180293501047,51
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0.00435350555037782,0.0030474538852644745,0.0010256226781839627,0.06190499633692612,0.2972171145227519,0.8969072164948454,0.9999999999999999,0.9343116701607267,410
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00027263903034300196,0.2919456600257452,0.010309278350515462,0.010309278350515462,0.0,32
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0.0001576751614944158,0.0009197717753840921,0.00010325912,0.001972353103687374,0.5185923274136526,0.09278350515463918,0.09278350515463918,0.051362683438155136,85
0xebb8629e8a3ec86cf90cb7600264415640834483,8.811622966581057e-05,0.0007710170095758425,8.492096e-05,0.0010579680497618186,0.8880782352060774,0.05154639175257732,0.05154639175257732,0.16771488469601675,121
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,7.070981135346268e-06,9.899373589484775e-05,9.900000000000002e-06,0.0003192504619566253,0.2469188979674792,0.020618556701030924,0.020618556701030924,0.2774283717679944,59
0xf10fd8921019615a856c1e95c7cd3632de34edc4,0.005605535488178137,0.005162993212795652,0.004,0.17448024834327605,0.44882596476690795,0.7216494845360825,0.7525773195876289,0.6345213137665967,347
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,0.19977663930548487,0.13984364751383938,0.21,0.5155738963383991,0.022859477339046676,0.9999999999999999,0.9999999999999999,0.07686932215234102,436
0xf54f36bca969800fd7d63a68029561309938c09b,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00026343713155621844,0.2877816998185675,0.010309278350515462,0.010309278350515462,0.0,32
0xf60304b534f74977e159b2e159e135475c245526,0.0,0.0,0.0,0.0260539725394183,0.14773430551934433,0.15463917525773196,0.15463917525773196,0.015373864430468204,65
0xf67e8e5805835465f7eba988259db882ab726800,1.457809138616973e-05,0.0002551165992579703,3.2e-05,0.00027252281465236583,0.27806579266848624,0.010309278350515462,0.010309278350515462,0.002445842068483578,31
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00026351758857281267,0.16876183723007213,0.010309278350515462,0.010309278350515462,0.0,20
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,0.0003653669596643471,0.0019673605520387923,0.0004,0.02035150997095016,0.5740806561146433,0.08247422680412371,0.10309278350515463,0.5587002096436058,142
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,1.694703123642231e-05,0.0002965730466373904,3.7199999999999996e-05,0.00034764582903540147,0.32317536157957777,0.010309278350515462,0.010309278350515462,0.0,35
